geoid,total_16plus,total_16to19,total_20to24,total_25to54,total_55to64,total_65plus,inLaborForce_16to19,inLaborForce_20to24,inLaborForce_25to54,inLaborForce_55to64,inLaborForce_65plus,outLaborForce_16to19,outLaborForce_20to24,outLaborForce_25to54,outLaborForce_55to64,outLaborForce_65plus,Employed_16to19,Employed_20to24,Employed_25to54,Employed_55to64,EmployedMilitary_16to19,EmployedMilitary_20to24,EmployedMilitary_25to54,EmployedMilitary_55to64,Unemployed_16to19,Unemployed_20to24,Unemployed_25to54,Unemployed_55to64
39077,45662.0,2867.0,3436.0,22566.0,8034.0,8759.0,1278.0,3009.0,18739.0,5062.0,996.0,1589.0,427.0,3827.0,2972.0,7763.0,1032.0,2712.0,17395.0,4904.0,0.0,5.0,7.0,0.0,246.0,292.0,1337.0,158.0
39079,25928.0,1825.0,1892.0,12681.0,4519.0,5011.0,887.0,1420.0,9516.0,2363.0,721.0,938.0,472.0,3165.0,2156.0,4290.0,503.0,1109.0,8620.0,2256.0,0.0,0.0,0.0,0.0,384.0,311.0,896.0,107.0
39081,56309.0,3609.0,4728.0,24216.0,10733.0,13023.0,1150.0,2949.0,18575.0,6117.0,1767.0,2459.0,1779.0,5641.0,4616.0,11256.0,924.0,2424.0,17050.0,5766.0,0.0,0.0,0.0,0.0,226.0,525.0,1525.0,351.0
39083,48273.0,3972.0,4828.0,21590.0,8237.0,9646.0,1815.0,3385.0,17991.0,5581.0,1405.0,2157.0,1443.0,3599.0,2656.0,8241.0,1367.0,3109.0,16992.0,5338.0,0.0,0.0,14.0,0.0,448.0,276.0,985.0,243.0
39085,186890.0,11470.0,12497.0,88967.0,34014.0,39942.0,5745.0,10010.0,77682.0,24546.0,7023.0,5725.0,2487.0,11285.0,9468.0,32919.0,4785.0,9008.0,73356.0,23505.0,7.0,20.0,38.0,0.0,953.0,982.0,4288.0,1041.0
39087,49388.0,2966.0,3593.0,23859.0,8431.0,10539.0,1091.0,2808.0,17381.0,4271.0,1056.0,1875.0,785.0,6478.0,4160.0,9483.0,897.0,2454.0,15967.0,4115.0,0.0,0.0,0.0,0.0,194.0,354.0,1414.0,156.0
39089,133091.0,9404.0,10518.0,65897.0,22623.0,24649.0,4404.0,8552.0,56419.0,14617.0,3865.0,5e3,1966.0,9478.0,8006.0,20784.0,3583.0,7498.0,52696.0,13912.0,0.0,0.0,96.0,0.0,821.0,1054.0,3627.0,705.0
39091,35766.0,2380.0,2430.0,17130.0,6510.0,7316.0,1175.0,2125.0,14065.0,4056.0,1073.0,1205.0,305.0,3065.0,2454.0,6243.0,912.0,1790.0,13186.0,3848.0,0.0,1.0,2.0,0.0,263.0,334.0,877.0,208.0
39093,241620.0,16478.0,18388.0,116625.0,42296.0,47833.0,8396.0,14790.0,94595.0,27079.0,7114.0,8082.0,3598.0,22030.0,15217.0,40719.0,5904.0,12594.0,87498.0,25585.0,0.0,28.0,40.0,0.0,2492.0,2168.0,7057.0,1494.0
39095,345775.0,23492.0,32716.0,169514.0,58115.0,61938.0,10965.0,25018.0,137566.0,35030.0,9216.0,12527.0,7698.0,31948.0,23085.0,52722.0,7344.0,20492.0,124217.0,32631.0,0.0,54.0,152.0,0.0,3621.0,4472.0,13197.0,2399.0
39097,35316.0,2133.0,2662.0,19087.0,5526.0,5908.0,1010.0,1886.0,13044.0,3039.0,825.0,1123.0,776.0,6043.0,2487.0,5083.0,750.0,1730.0,12423.0,2916.0,0.0,0.0,6.0,4.0,260.0,156.0,615.0,119.0
39099,192019.0,11762.0,14854.0,85883.0,35626.0,43894.0,5598.0,11255.0,68553.0,22206.0,6511.0,6164.0,3599.0,17330.0,13420.0,37383.0,4153.0,9182.0,62656.0,20997.0,9.0,22.0,125.0,0.0,1436.0,2051.0,5772.0,1209.0
39101,53605.0,3049.0,4395.0,26859.0,9105.0,10197.0,1102.0,2958.0,17792.0,4892.0,1591.0,1947.0,1437.0,9067.0,4213.0,8606.0,830.0,2373.0,16236.0,4629.0,0.0,0.0,0.0,0.0,272.0,585.0,1556.0,263.0
