geoid,nhwa_under18,nhwa_votingAge,aian_under18,aian_votingAge,asian_under18,asian_votingAge,black_under18,black_votingAge,hisp_under18,hisp_votingAge,multi_under18,multi_votingAge,nhpi_under18,nhpi_votingAge,sor_under18,sor_votingAge,white_under18,white_votingAge
04013,427929.0,1875609.0,23875.0,52746.0,33906.0,118342.0,60196.0,149593.0,437939.0,771095.0,63094.0,62005.0,2135.0,5927.0,83991.0,164664.0,749207.0,2448462.0
04015,25510.0,133557.0,1049.0,3120.0,437.0,2060.0,438.0,1854.0,10027.0,21782.0,2740.0,4263.0,99.0,248.0,1112.0,4857.0,33091.0,147994.0
04017,9901.0,35941.0,15321.0,31895.0,196.0,434.0,141.0,580.0,4124.0,7781.0,1801.0,1408.0,20.0,80.0,693.0,2981.0,12266.0,39840.0
04019,77636.0,458329.0,10217.0,22439.0,4965.0,22533.0,9204.0,26919.0,114386.0,242203.0,17620.0,19946.0,366.0,1088.0,24045.0,61496.0,154096.0,623603.0
04021,43654.0,182377.0,6409.0,14275.0,1355.0,5343.0,4864.0,13090.0,38324.0,75070.0,6074.0,5956.0,729.0,753.0,5856.0,15696.0,71645.0,237727.0
04023,897.0,6462.0,9.0,97.0,147.0,319.0,21.0,144.0,12451.0,26514.0,292.0,441.0,0.0,27.0,2765.0,5268.0,10305.0,27238.0
04025,25016.0,150190.0,1190.0,2805.0,208.0,1691.0,176.0,1109.0,10642.0,19740.0,1710.0,3273.0,3.0,67.0,1819.0,4040.0,33305.0,164600.0
04027,9611.0,58404.0,753.0,1860.0,507.0,2127.0,869.0,3431.0,41354.0,82683.0,1893.0,2779.0,135.0,211.0,10409.0,21426.0,39177.0,117410.0
05001,2678.0,10494.0,0.0,18.0,1.0,83.0,1463.0,3348.0,184.0,362.0,65.0,143.0,10.0,0.0,0.0,42.0,2813.0,10745.0
05003,3047.0,11365.0,0.0,64.0,2.0,10.0,1483.0,4034.0,417.0,661.0,69.0,68.0,0.0,0.0,187.0,275.0,3266.0,11771.0
05005,6802.0,32328.0,9.0,229.0,0.0,207.0,28.0,107.0,247.0,551.0,153.0,387.0,0.0,0.0,59.0,154.0,6990.0,32717.0
05007,42467.0,136224.0,972.0,2425.0,2378.0,5884.0,958.0,2593.0,14884.0,23184.0,3398.0,3302.0,356.0,495.0,1656.0,4336.0,54980.0,154465.0
05009,7803.0,27364.0,143.0,129.0,28.0,142.0,7.0,125.0,285.0,551.0,223.0,461.0,0.0,14.0,0.0,16.0,8039.0,27900.0
05011,1224.0,5159.0,25.0,59.0,0.0,0.0,768.0,2477.0,628.0,936.0,36.0,34.0,0.0,0.0,341.0,676.0,1440.0,5350.0
05013,649.0,3179.0,0.0,3.0,0.0,11.0,214.0,949.0,111.0,71.0,44.0,14.0,0.0,0.0,0.0,3.0,760.0,3247.0
05015,4238.0,18320.0,0.0,179.0,33.0,73.0,94.0,62.0,1600.0,2350.0,115.0,406.0,214.0,124.0,87.0,171.0,5679.0,20398.0
05017,764.0,3723.0,0.0,44.0,7.0,24.0,1584.0,4537.0,259.0,345.0,0.0,66.0,0.0,0.0,123.0,106.0,900.0,3962.0
05019,2596.0,13243.0,0.0,39.0,98.0,92.0,1224.0,4217.0,420.0,564.0,136.0,148.0,0.0,0.0,71.0,41.0,2931.0,13754.0
05021,3036.0,11751.0,0.0,51.0,0.0,14.0,21.0,35.0,90.0,178.0,157.0,83.0,0.0,0.0,61.0,137.0,3039.0,11802.0
05023,4709.0,19737.0,14.0,122.0,0.0,72.0,78.0,55.0,220.0,393.0,77.0,234.0,0.0,0.0,0.0,67.0,4929.0,20063.0
05025,1608.0,5623.0,0.0,18.0,0.0,9.0,253.0,682.0,55.0,114.0,101.0,53.0,0.0,0.0,12.0,3.0,1645.0,5734.0
05027,2688.0,11703.0,0.0,85.0,0.0,171.0,2327.0,6332.0,223.0,431.0,92.0,317.0,0.0,0.0,115.0,280.0,2766.0,11842.0
05029,3753.0,13517.0,26.0,127.0,0.0,11.0,640.0,1901.0,341.0,477.0,124.0,204.0,0.0,0.0,3.0,44.0,4094.0,13936.0
05031,16972.0,62426.0,391.0,382.0,313.0,938.0,4901.0,8959.0,1942.0,2811.0,1015.0,811.0,30.0,117.0,473.0,601.0,18015.0,64463.0
05033,12505.0,40532.0,300.0,726.0,294.0,727.0,115.0,584.0,1564.0,2509.0,913.0,1197.0,0.0,0.0,242.0,497.0,13791.0,42362.0
05035,4812.0,17265.0,16.0,78.0,24.0,290.0,8072.0,17234.0,424.0,696.0,632.0,255.0,32.0,48.0,109.0,298.0,5053.0,17624.0
05037,2869.0,9981.0,16.0,31.0,48.0,60.0,1160.0,2862.0,123.0,179.0,74.0,99.0,0.0,0.0,24.0,15.0,2968.0,10110.0
05039,816.0,3412.0,0.0,3.0,61.0,116.0,836.0,2407.0,147.0,72.0,21.0,9.0,0.0,0.0,39.0,15.0,896.0,3465.0
05041,1172.0,4568.0,0.0,0.0,7.0,0.0,1739.0,4210.0,222.0,353.0,52.0,96.0,0.0,0.0,18.0,82.0,1361.0,4814.0
05043,2573.0,9966.0,0.0,14.0,24.0,26.0,1335.0,4060.0,194.0,346.0,90.0,119.0,0.0,0.0,106.0,205.0,2654.0,10107.0
05045,21693.0,75468.0,95.0,359.0,295.0,1222.0,3990.0,9498.0,1818.0,2974.0,995.0,1258.0,12.0,8.0,359.0,889.0,22913.0,77450.0
05047,3809.0,12774.0,167.0,200.0,3.0,49.0,21.0,142.0,169.0,317.0,131.0,195.0,0.0,0.0,3.0,16.0,3919.0,13020.0
05049,2320.0,9402.0,0.0,51.0,76.0,108.0,2.0,13.0,19.0,122.0,63.0,58.0,0.0,0.0,0.0,0.0,2329.0,9524.0
05051,14650.0,65864.0,161.0,411.0,175.0,437.0,2420.0,5675.0,1942.0,3080.0,803.0,1262.0,0.0,9.0,1097.0,1844.0,15506.0,67154.0
05053,3863.0,12939.0,13.0,48.0,0.0,98.0,229.0,457.0,84.0,137.0,88.0,110.0,4.0,0.0,14.0,54.0,3919.0,13020.0
05055,9840.0,31168.0,20.0,75.0,18.0,40.0,87.0,311.0,487.0,635.0,267.0,460.0,0.0,20.0,85.0,256.0,10225.0,31518.0
05057,2521.0,9930.0,0.0,37.0,0.0,6.0,1945.0,4715.0,1276.0,1512.0,305.0,269.0,0.0,0.0,241.0,206.0,3398.0,11214.0
05059,5670.0,21974.0,14.0,175.0,17.0,33.0,883.0,3e3,406.0,641.0,233.0,290.0,0.0,0.0,10.0,74.0,6066.0,22521.0
05061,1958.0,7e3,52.0,74.0,0.0,3.0,887.0,2068.0,617.0,816.0,18.0,46.0,0.0,0.0,553.0,682.0,2032.0,7140.0
05063,7370.0,25619.0,84.0,80.0,98.0,223.0,214.0,545.0,902.0,1311.0,239.0,394.0,0.0,7.0,33.0,150.0,8185.0,26700.0
05065,2359.0,10553.0,0.0,28.0,10.0,19.0,4.0,158.0,86.0,156.0,21.0,79.0,24.0,12.0,27.0,27.0,2408.0,10663.0
05067,2531.0,11121.0,3.0,85.0,14.0,24.0,671.0,2380.0,180.0,314.0,186.0,117.0,0.0,0.0,26.0,86.0,2683.0,11322.0
05069,5138.0,24670.0,0.0,82.0,103.0,491.0,11099.0,29782.0,490.0,885.0,337.0,492.0,92.0,34.0,146.0,367.0,5348.0,25175.0
05071,4609.0,16522.0,14.0,118.0,38.0,216.0,58.0,439.0,1408.0,2062.0,225.0,369.0,0.0,52.0,161.0,412.0,5817.0,18011.0
05073,775.0,3564.0,0.0,0.0,0.0,18.0,682.0,2095.0,31.0,59.0,30.0,16.0,0.0,0.0,3.0,0.0,803.0,3623.0
05075,3627.0,12743.0,0.0,48.0,8.0,5.0,52.0,101.0,74.0,129.0,67.0,173.0,0.0,0.0,0.0,6.0,3701.0,12868.0
05077,630.0,3461.0,0.0,14.0,0.0,4.0,1282.0,4340.0,22.0,203.0,6.0,13.0,0.0,0.0,0.0,49.0,652.0,3606.0
05079,1741.0,7400.0,0.0,46.0,0.0,0.0,664.0,3705.0,131.0,363.0,22.0,56.0,0.0,0.0,26.0,182.0,1830.0,7531.0
05081,1931.0,7402.0,52.0,95.0,0.0,0.0,742.0,1890.0,168.0,229.0,58.0,166.0,0.0,0.0,149.0,185.0,1934.0,7449.0
05083,4407.0,15749.0,90.0,113.0,170.0,267.0,95.0,312.0,226.0,335.0,58.0,293.0,0.0,0.0,26.0,80.0,4578.0,15919.0
05085,15801.0,45723.0,95.0,277.0,28.0,429.0,1291.0,3011.0,1047.0,1675.0,616.0,675.0,71.0,21.0,354.0,678.0,16432.0,46713.0
05087,3173.0,11100.0,29.0,46.0,0.0,97.0,19.0,54.0,333.0,491.0,180.0,269.0,0.0,0.0,60.0,52.0,3427.0,11469.0
05089,2618.0,12979.0,0.0,109.0,45.0,73.0,12.0,30.0,129.0,240.0,74.0,181.0,0.0,0.0,22.0,17.0,2717.0,13178.0
05091,6478.0,23989.0,23.0,188.0,6.0,44.0,3345.0,7532.0,486.0,811.0,337.0,666.0,0.0,0.0,70.0,268.0,6777.0,24396.0
05093,6051.0,20708.0,0.0,49.0,11.0,122.0,5075.0,10468.0,706.0,1014.0,353.0,350.0,0.0,9.0,257.0,476.0,6440.0,21254.0
05095,711.0,3541.0,0.0,12.0,21.0,21.0,829.0,2309.0,67.0,96.0,53.0,65.0,0.0,0.0,64.0,26.0,714.0,3599.0
05097,1574.0,6877.0,42.0,77.0,3.0,58.0,19.0,49.0,129.0,210.0,69.0,154.0,0.0,0.0,16.0,26.0,1644.0,7040.0
05099,1166.0,4473.0,0.0,29.0,39.0,74.0,695.0,2010.0,201.0,81.0,5.0,33.0,0.0,0.0,0.0,0.0,1354.0,4554.0
05101,1499.0,6101.0,51.0,60.0,0.0,37.0,0.0,0.0,38.0,47.0,23.0,202.0,0.0,0.0,0.0,0.0,1537.0,6142.0
05103,2660.0,11290.0,0.0,52.0,0.0,39.0,2599.0,7465.0,182.0,309.0,316.0,213.0,0.0,0.0,9.0,38.0,2818.0,11495.0
05105,2024.0,7523.0,0.0,34.0,9.0,0.0,9.0,205.0,183.0,99.0,100.0,124.0,0.0,0.0,101.0,69.0,2100.0,7549.0
05107,1386.0,5792.0,0.0,24.0,0.0,24.0,3868.0,8677.0,131.0,190.0,146.0,146.0,0.0,0.0,14.0,0.0,1517.0,5975.0
05109,2148.0,7579.0,15.0,2.0,17.0,38.0,43.0,305.0,290.0,436.0,93.0,113.0,0.0,0.0,240.0,322.0,2206.0,7693.0
05111,4712.0,16567.0,0.0,39.0,0.0,7.0,630.0,1372.0,274.0,356.0,194.0,163.0,0.0,0.0,88.0,86.0,4854.0,16777.0
05113,3898.0,14172.0,64.0,155.0,19.0,68.0,8.0,34.0,553.0,724.0,277.0,409.0,0.0,0.0,122.0,321.0,4310.0,14577.0
05115,11201.0,42511.0,59.0,305.0,0.0,452.0,562.0,1427.0,1858.0,3061.0,995.0,783.0,0.0,0.0,372.0,675.0,12343.0,44857.0
05117,1407.0,5768.0,0.0,34.0,0.0,10.0,267.0,768.0,37.0,56.0,37.0,18.0,0.0,0.0,6.0,26.0,1438.0,5798.0
