County,MedianHouseholdIncome,TotalPopulation,Male,Female,Age0_4,Age5_9,Age10_14,Age15_19,Age20_24,Age25_34,Age35_44,Age45_54,Age55_59,Age60_64,Age65_74,Age75_84,Age85,MedianAge,WhiteAlone,BlackAlone,AmericanIndianAlaskaNativeAlone,AsianAlone,NativeHawaiianPacificIslanderAlone,OtherRaceAlone,WhiteBlack,WhiteAmericanIndianAlaskaNative,WhiteAsian,BlackAmericanIndianAlaskaNative,White,Black,AmericanIndianAlaskaNative,Asian,NativeHawaiianPacificIslander,OtherRace,Hispanic,SimpsonDiversityIndex,Population25Plus,EdK8,Ed9_12,EdHS,EdCollNoDegree,EdAssocDegree,EdBachelorDegree,EdGraduateDegree,MedianHousingCosts,Married,Widowed,Divorced,Separated,NeverMarried,Uninsured,ForeignBorn,NonCitizen,Disability,MfgEmp1970,MfgEmp1980,MfgEmp1990,MfgEmp2001,MfgEmp2015,TotalEmp1970,TotalEmp1980,TotalEmp1990,TotalEmp2001,TotalEmp2015,WoodardAmericanNation,LandAreaSqMiles,Employment,LaborForce,Unemployment,TotalSSI,AgedSSI,BlindDisabledSSI,OASDI,SSIPayments,NCHS_UrbanRural2013,NCHS_UrbanRural2006,NCHS_UrbanRural1990,TotalReligiousAdherents,EvangelicalAdherents,CatholicAdherents,MormonAdherents,State,FoundryCounty,MexicanBorderCounty
33009,55762,89341,44024,45317,3835,4141,4706,7071,8138,10255,9516,12624,6921,6669,8769,4846,1850,41.9,83302,779,439,2868,0,131,414,453,534,42,84943,1379,1072,3486,134,244,1897,0.13177543571314465,61450,1490,3390,17557,10706,4882,12404,11021,1005,37180,4293,8432,767,25911,10064,5109,2804,11647,5031,6675,7579,6590,5577,27464,37376,53820,65843,71813,Yankeedom,1708.5855091705657,47380.0,48388.0,1008.0,1032,33,999,352,532000,Micropolitan (nonmetropolitan),Micropolitan (nonmetropolitan),"With a city of 10,000 or more (nonmetropolitan)",20149,1494,9503,1036,33,FALSE,FALSE
33011,71244,403972,200201,203771,22534,25314,24956,26898,25363,50784,53150,66529,29716,24730,30736,16011,7251,40.1,366740,9649,426,14577,22,3774,2582,2069,2067,24,375034,12796,2965,17097,448,5050,23646,0.17408875036529736,278907,9714,14735,75838,52293,26323,64234,35770,1354,170220,16890,39078,4636,100013,35377,35732,17218,43889,38795,48172,45129,40420,26069,115787,159785,208783,245034,263887,Yankeedom,876.4042980087147,226573.0,232324.0,5751.0,7233,486,6747,2343,3988000,Medium metro,Medium metro,Large fringe metro,173730,20588,124993,2517,33,FALSE,FALSE
33013,65983,147262,72470,74792,7108,7854,9171,10370,9613,16466,18200,23631,12135,10097,12735,6529,3353,42.6,139873,1740,125,2408,8,600,577,994,668,25,142276,2419,1221,3202,94,683,2722,0.0982699884092566,103146,1789,5614,29253,19808,11211,22168,13303,1246,63411,7265,15145,1354,35954,12339,6060,3185,18870,8771,11001,9813,8877,6612,37205,53962,72366,92525,101145,Yankeedom,932.7567996246498,79582.0,81288.0,1706.0,2172,98,2074,673,1166000,Micropolitan (nonmetropolitan),Micropolitan (nonmetropolitan),"With a city of 10,000 or more (nonmetropolitan)",45317,5195,24654,1026,33,FALSE,FALSE
33015,81198,299006,147837,151169,14014,17145,19367,19493,16026,32445,38247,53399,24535,20830,25838,12667,5000,43.5,284738,2237,363,5551,0,1466,1095,1360,1513,63,289079,3677,1885,7201,122,1864,7369,0.09394682535367593,212961,3164,8075,57264,40824,21070,52427,30137,1537,141137,12424,27830,2733,64605,21691,13871,5448,29551,8119,18847,16172,18342,15652,50086,90353,130570,176164,204594,Yankeedom,695.1179300587444,176847.0,181302.0,4455.0,2275,103,2172,699,1158000,Large fringe metro,Large fringe metro,Large fringe metro,114915,7456,84697,1430,33,FALSE,FALSE
33017,60711,125273,61104,64169,6467,6867,7017,10836,13511,15205,14940,18222,9055,6604,9382,5039,2128,37.2,116997,1200,151,3615,0,496,689,753,698,95,119559,2192,1244,4589,145,711,2603,0.13181567473651412,80575,1909,4603,22573,16250,7752,17024,10464,1162,49103,4721,12696,1364,37142,13233,6553,3497,16253,12225,12454,10368,7638,NA,30413,40730,50693,60248,66694,Yankeedom,367.4645406014576,70208.0,71669.0,1461.0,2049,54,1995,743,1067000,Large fringe metro,Large fringe metro,Medium metro,33633,4143,22112,669,33,FALSE,FALSE
33019,56032,43135,21182,21953,2084,2077,2863,2488,2230,4496,5281,6757,3613,3459,4566,2189,1032,45.1,41584,224,198,381,9,191,137,212,73,0,42117,418,457,454,47,232,600,0.07186043495899486,31393,1047,2254,11617,5493,2666,5145,3171,1090,18380,2456,5742,469,9064,4778,1080,300,6718,3775,5342,4282,4357,3459,11060,16123,18433,20278,20823,Yankeedom,537.5097739229276,23159.0,23646.0,487.0,820,13,807,273,435000,Micropolitan (nonmetropolitan),Micropolitan (nonmetropolitan),"With a city of 10,000 or more (nonmetropolitan)",10189,849,6008,NA,33,FALSE,FALSE
34001,54461,275376,133217,142159,16554,16037,17985,18492,18894,32405,33529,41941,19101,18156,23915,12746,5621,40.6,184901,42859,705,22819,46,14063,2538,735,789,552,191080,48425,2681,25266,1065,17810,49845,0.5142851254706501,187414,11291,17559,61616,37117,12760,31830,15241,1318,101385,15511,24278,5620,78006,35175,45146,20841,35047,10611,9227,6738,4995,NA,79885,109410,159479,171585,165470,Midlands,555.5942789708794,113271.0,122424.0,9153.0,6917,935,5982,2373,4015000,Medium metro,Medium metro,Medium metro,117189,13661,65867,1037,34,TRUE,FALSE
34003,85806,926330,448049,478281,49214,56113,59617,59672,51192,108435,126627,146138,68397,54872,76555,45961,23537,41.5,652390,54041,1762,144708,27,52649,4394,749,6596,643,668899,61545,4660,153909,1013,58711,166161,0.4685364341920616,650522,27596,26773,158223,96444,36261,192015,113210,1775,412671,48729,58627,10659,230700,101720,278436,109575,76409,110284,113553,85570,55202,33626,384906,470876,545229,581935,650553,New Netherland,232.76104639577036,467029.0,487485.0,20456.0,12250,5218,7032,3932,6122000,Large fringe metro,Large fringe metro,Large fringe metro,583426,33419,430007,1430,34,TRUE,FALSE
34005,78621,450556,221673,228883,24082,27613,29127,29131,28958,53810,57691,72490,33198,26526,36969,21601,9360,41.0,328004,72631,452,20974,36,11724,5169,1448,2925,1154,341161,82402,4808,26350,982,14214,32991,0.4380027063546815,311645,7334,15459,92049,60220,25307,72730,38546,1541,187825,22924,36604,6655,115727,29496,40567,15196,47864,21037,22953,23619,22006,15418,137254,145171,201066,239489,273348,Midlands,798.909617845177,223392.0,233555.0,10163.0,5922,653,5269,1883,3330000,Large fringe metro,Large fringe metro,Large fringe metro,186274,23751,111334,2953,34,TRUE,FALSE
34007,62185,511998,247370,264628,32370,33504,33376,33146,33287,69313,65862,74910,35999,29279,39054,21006,10892,38.3,324009,99378,1129,28600,9,43439,4770,1216,1893,1045,334727,109209,4710,31870,652,47944,78615,0.5452710139688222,346315,16633,25182,108466,66743,24831,67059,37401,1304,184498,27654,37560,9080,153542,54311,55677,25250,67549,42270,36946,30760,19656,14319,171965,205214,249215,253094,264959,Midlands,221.3474159945108,242662.0,256560.0,13898.0,16782,1640,15142,5178,10131000,Large fringe metro,Large fringe metro,Large central metro,275475,21048,180343,593,34,TRUE,FALSE
