name,idealogy_icon,city,state,statewide,headquarters,lat,long,splc_group,splc_ideology
National Socialist Movement,neo-nazi,,Tennessee,1,0,35.51,-86.58,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/group/national-socialist-movement"">National Socialist Movement</a>","<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/neo-nazi"">Neo-Nazi</a>"
National Socialist Movement,neo-nazi,,Wyoming,1,0,43.07,-107.29,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/group/national-socialist-movement"">National Socialist Movement</a>","<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/neo-nazi"">Neo-Nazi</a>"
Jewish Task Force,other,Fresh Meadows,New York,0,1,40.742194,-73.788968,,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/general-hate"">General Hate</a>"
Crew 38,racist-skinhead,,Virginia,1,0,37.43,-78.65,,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/racist-skinhead"">Racist Skinhead</a>"
Crew 38,racist-skinhead,,North Carolina,1,0,35.75,-79.01,,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/racist-skinhead"">Racist Skinhead</a>"
Nation of Islam,black-separatist,Brooklyn,New York,0,0,40.67,-73.94,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/group/nation-islam"">Nation of Islam</a>","<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist"">Black Separatist</a>"
Non-Universal Teaching Ministries,christian-identity,Fostoria,Ohio,0,1,41.156998,-83.41687,,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/christian-identity"">Christian Identity</a>"
Gallows Tree Wotansvolk Alliance,neo-nazi,Grand Rapids,Michigan,0,1,42.96,-85.66,,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/neo-nazi"">Neo-Nazi</a>"
Most Holy Family Monastery,rad-trad-catholicism,Fillmore,New York,0,1,42.438091,-77.985067,,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/radical-traditional-catholicism"">Radical Traditional Catholicism</a>"
Ku Klos Knights of the Ku Klux Klan,kkk,Church Hill,Tennessee,0,1,36.52,-82.71,,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/ku-klux-klan"">Ku Klux Klan</a>"
League of the South,neo-confederate,Logansport,Louisiana,0,0,31.975445,-93.997967,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/group/league-south"">League of the South</a>","<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/neo-confederate"">Neo-Confederate</a>"
League of the South,neo-confederate,Clements,Maryland,0,0,38.326544,-76.727526,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/group/league-south"">League of the South</a>","<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/neo-confederate"">Neo-Confederate</a>"
New Black Panther Party,black-separatist,Miami,Florida,0,0,25.75,-80.13,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/group/new-black-panther-party"">New Black Panther Party</a>","<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist"">Black Separatist</a>"
