ORI,agency
CA0370200,CHULA VISTA
CA0370300,CORONADO
CA0370400,DEL MAR
CA0370500,EL CAJON
CA0370600,ESCONDIDO
CA0370700,IMPERIAL BEACH
CA0370800,LA MESA
CA0370900,NATIONAL CITY
CA0371000,OCEANSIDE
CA0371100,SAN DIEGO
CA0371200,SAN MARCOS
CA0371300,VISTA
CA0371400,SAN DIEGO ST UNIVERSITY
CA0371500,PORT OF SAN DIEGO HARBOR
CA0372500,DPR: SAN DIEGO COAST
CA0373200,CA ST UN: SAN MARCOS
CA0379700,UN OF CA: SAN DIEGO
CA0379900,HP: SAN DIEGO COUNTY
CA037A100,LEMON GROVE
CA037A200,SANTEE
CA037A300,POWAY
CA037A400,ENCINITAS
CA0380100,SAN FRANCISCO
CA0380500,SF BART: SAN FRANCISCO C
CA0389700,UN OF CA: SAN FRANCISCO
CA0390000,SAN JOAQUIN
CA0390100,ESCALON
CA0390200,LODI
CA0390300,MANTECA
CA0390400,RIPON
CA0390500,STOCKTON
CA0390600,TRACY
CA0391500,STOCKTON UNIFIED SCH DIS
CA0400000,SAN LUIS OBISPO
CA0400100,ARROYO GRANDE
CA0400200,GROVER BEACH
CA0400400,PASO ROBLES
CA0400600,SAN LUIS OBISPO
CA0400700,CA ST POLYT U:SAN LUIS O
CA0400800,ATASCADERO
CA0410000,SAN MATEO
CA0410100,ATHERTON
CA0410200,BELMONT
CA0410300,BRISBANE
CA0410600,DALY CITY
CA0410900,MENLO PARK
CA0411000,MILLBRAE
CA0411100,PACIFICA
CA0411300,REDWOOD CITY
CA0411400,SAN BRUNO
CA0411600,SAN MATEO
CA0411700,SOUTH SAN FRANCISCO
CA0412000,FOSTER CITY
CA0412300,SF BART: SAN MATEO CNTY
CA0412700,EAST PALO ALTO
CA0420000,SANTA BARBARA
CA0420300,SANTA BARBARA
CA0420400,SANTA MARIA
CA0421100,ALLAN HANCOCK COLLEGE
CA0421200,BUELLTON
CA0421400,GOLETA
CA0429700,UN OF CA: SANTA BARBARA
CA0430000,SANTA CLARA
CA0430200,CAMPBELL
CA0430300,CUPERTINO
CA0430400,GILROY
CA0430700,LOS GATOS
CA0430800,MILPITAS
CA0431100,MOUNTAIN VIEW
CA0431200,PALO ALTO
CA0431300,SAN JOSE
CA0431500,SARATOGA
CA0431600,SUNNYVALE
CA0431700,CA ST UN: SAN JOSE
CA0432100,WEST VALLEY-MISSION COLL
CA0432700,FOOTHILL-DE ANZA COLLEGE
CA0439500,SANTA CLARA TRANSIT DIST
CA0440000,SANTA CRUZ
CA0440100,CAPITOLA
CA0440200,SANTA CRUZ
CA0440300,WATSONVILLE
CA0440400,SCOTTS VALLEY
CA0449700,UN OF CA: SANTA CRUZ
CA0450000,SHASTA
CA0450100,ANDERSON
CA0450200,REDDING
CA0480000,SOLANO
CA0480100,BENICIA
CA0480300,FAIRFIELD
CA0480600,VACAVILLE
CA0480700,VALLEJO
CA0490000,SONOMA
CA0490200,COTATI
CA0490300,HEALDSBURG
CA0490400,ROHNERT PARK
CA0490500,SANTA ROSA
CA0490700,SONOMA
CA0490800,PETALUMA
CA0491400,SANTA ROSA JR. COLLEGE
CA0491500,WINDSOR
CA0500000,STANISLAUS
CA0500200,MODESTO
CA0500500,PATTERSON
CA0500600,RIVERBANK
CA0500700,TURLOCK
CA0500800,WATERFORD
CA0500900,HUGHSON
CA0510000,SUTTER
CA0510200,YUBA CITY
CA0520200,RED BLUFF
CA0540000,TULARE
CA0540300,FARMERSVILLE
CA0540600,TULARE
CA0540700,VISALIA
CA0550000,TUOLUMNE
CA0550100,SONORA
CA0560000,VENTURA
CA0560100,CAMARILLO
CA0560300,OJAI
CA0560400,OXNARD
CA0560500,PORT HUENEME
CA0560600,SANTA PAULA
CA0560700,THOUSAND OAKS
CA0560800,VENTURA
CA0560900,SIMI VALLEY
CA0561400,MOORPARK
CA0562200,CA ST UN: CHANNEL ISLNDS
CA0568000,VENTURA CNTY COM COL DST
CA0570000,YOLO
CA0570100,DAVIS
CA0570300,WOODLAND
CA0579700,UN OF CA: DAVIS
CA0580000,YUBA
CA0580100,MARYSVILLE
CO0010000,ADAMS
CO0010100,AURORA
CO0010200,BRIGHTON
CO0010300,COMMERCE CITY
CO0010400,THORNTON
CO0010500,WESTMINSTER
CO0010600,NORTHGLENN
CO0020100,ALAMOSA
CO0030000,ARAPAHOE
CO0030100,ENGLEWOOD
CO0030200,LITTLETON
CO0030300,SHERIDAN
CO0030400,GLENDALE
CO0030700,GREENWOOD VILLAGE
CO0031100,CENTENNIAL
CO0040100,PAGOSA SPRINGS
CO0060000,BENT
CO0070000,BOULDER
CO0070100,BOULDER
CO0070300,LAFAYETTE
CO0070400,LONGMONT
CO0070500,UNIV OF CO: BOULDER
CO0070600,LOUISVILLE
CO0080000,CHAFFEE
CO0080100,BUENA VISTA
CO0100100,IDAHO SPRINGS
CO0150300,HOTCHKISS
CO0160200,AURARIA HIGHER EDUC CNTR
CO0180000,DOUGLAS
CO0180100,CASTLE ROCK
CO0180500,PARKER
CO0180700,LONE TREE
CO0190400,BASALT
CO0210000,EL PASO
CO0210100,COLORADO SPRINGS
CO0210200,FOUNTAIN
CO0210400,U OF CO: COLORADO SPRNGS
CO0210600,PALMER LAKE
CO0210700,MONUMENT
CO0220100,CANON CITY
CO0220200,FLORENCE
CO0230000,GARFIELD
CO0230100,GLENWOOD SPRINGS
CO0230200,PARACHUTE
CO0230600,NEW CASTLE
CO0240000,GILPIN
CO0260100,GUNNISON
CO0280000,HUERFANO
CO0280100,WALSENBURG
CO0300000,JEFFERSON
CO0300100,ARVADA
CO0300200,GOLDEN
CO0300400,LAKEWOOD
CO0300500,WHEAT RIDGE
CO0320000,KIT CARSON
CO0340000,LA PLATA
CO0340100,DURANGO
CO0340500,FORT LEWIS COLLEGE
CO0350000,LARIMER
CO0350100,BERTHOUD
CO0350200,ESTES PARK
CO0350300,FORT COLLINS
CO0350400,LOVELAND
CO0350500,CO ST UNIV: FORT COLLINS
CO0360100,TRINIDAD
CO0380000,LOGAN
CO0380100,STERLING
CO0390000,MESA
CO0390100,GRAND JUNCTION
CO0390200,FRUITA
CO0410000,MOFFAT
CO0410100,CRAIG
CO0420000,MONTEZUMA
CO0420200,MANCOS
CO0430000,MONTROSE
CO0430100,MONTROSE
CO0440200,FORT MORGAN
CO0450000,OTERO
CO0450100,LA JUNTA
CO0490000,PITKIN
CO0490100,ASPEN
CO0510000,PUEBLO
CO0510100,PUEBLO
CO0510300,CO STATE UNIV: PUEBLO
CO0520100,MEEKER
CO0540100,STEAMBOAT SPRINGS
CO0570100,TELLURIDE
CO0590000,SUMMIT
CO0590100,BRECKENRIDGE
CO0590400,FRISCO
CO0600000,TELLER
CO0620000,WELD
CO0620100,FORT LUPTON
CO0620200,GREELEY
CO0620400,EVANS
CO0620600,WINDSOR
CO0621000,JOHNSTOWN
CO0621600,UNIV NORTHERN COLORADO
CO0621700,FREDERICK
CO0630200,YUMA
CO0640100,BROOMFIELD
COCSP0000,COLORADO STATE PATROL
CODPD0000,DENVER
CT0000700,BERLIN
CT0000900,BETHEL
CT0001100,BLOOMFIELD
CT0001500,BRIDGEPORT
CT0001700,BRISTOL
CT0001800,BROOKFIELD
CT0002300,CANTON
CT0002500,CHESHIRE
CT0002700,CLINTON
CT0003200,COVENTRY
CT0003300,CROMWELL
CT0003400,DANBURY
CT0003500,DARIEN
CT0003700,DERBY
CT0004200,EAST HAMPTON
CT0004300,EAST HARTFORD
CT0004600,EASTON
CT0004900,ENFIELD
CT0005100,FAIRFIELD
CT0005200,FARMINGTON
CT0005400,GLASTONBURY
CT0005700,GREENWICH
CT0005900,GROTON
CT0006000,GUILFORD
CT0006200,HAMDEN
CT0006400,HARTFORD
CT0007600,MADISON
CT0007700,MANCHESTER
CT0008000,MERIDEN
CT0008100,MIDDLEBURY
CT0008300,MIDDLETOWN
CT0008400,MILFORD
CT0008800,NAUGATUCK
CT0008900,NEW BRITAIN
CT0009000,NEW CANAAN
CT0009300,NEW HAVEN
CT0009400,NEWINGTON
CT0009500,NEW LONDON
CT0009600,NEW MILFORD
CT0009700,NEWTOWN
CT0009900,NORTH BRANFORD
CT0010100,NORTH HAVEN
CT0010300,NORWALK
CT0010400,NORWICH
CT0010600,OLD SAYBROOK
CT0010700,ORANGE
CT0010900,PLAINFIELD
CT0011100,PLYMOUTH
CT0011700,REDDING
CT0012400,SEYMOUR
CT0012600,SHELTON
CT0012800,SIMSBURY
CT0013100,SOUTHINGTON
CT0013200,SOUTH WINDSOR
CT0013500,STAMFORD
CT0013700,STONINGTON
CT0013800,STRATFORD
CT0013900,SUFFIELD
CT0014300,TORRINGTON
CT0014400,TRUMBULL
CT0014600,VERNON
CT0014800,WALLINGFORD
CT0015100,WATERBURY
CT0015200,WATERFORD
CT0015300,WATERTOWN
CT0015500,WEST HARTFORD
CT0015600,WEST HAVEN
CT0015700,WESTON
CT0015800,WESTPORT
CT0016100,WILTON
CT0016200,WINCHESTER
CT0016400,WINDSOR
CT0016500,WINDSOR LOCKS
CT0016600,WOLCOTT
CT0016700,WOODBRIDGE
CT0017000,"UNIV OF CT: STORRS, AP&H"
CT0018500,METROPLTN TRNSPRTN AUTH
CT0019000,CENTRAL CONNECTICUT ST U
CT0019100,EASTERN CONNECTICUT ST U
CT0019300,WESTERN CONNECTICUT ST U
CT0019400,SO CONN STATE UNIVERSITY
CT00A5900,GROTON TOWN
CTCSP0000,CONNECTICUT STATE POLICE
DCMPD0000,WASHINGTON
DCMTP0000,METRO TRANSIT POLICE
DE0010100,DOVER
DE0010300,SMYRNA
DE0010400,CAMDEN
DE0012000,STATE FIRE MARSHAL
DE0012300,PARK RANGERS
DE0020100,RIVER AND BAY AUTHORITY
DE0020300,NEW CASTLE COUNTY P DEPT
DE0020500,NEWARK
DE0020600,WILMINGTON
DE0021700,UNIVERSITY OF DELAWARE
DE0030200,DELMAR
DE0030300,LAUREL
DE0030500,MILFORD
DE0030600,MILTON
DE0030700,REHOBOTH BEACH
