ORI,agency
MI3148000,HOUGHTON
MI3151400,LAKE LINDEN
MI3203200,SP: HURON COUNTY
MI3250600,KINDE
MI3336400,EAST LANSING
MI3351900,LANSING
MI3356300,MASON
MI3358100,MICHIGAN STATE UNIVERSIT
MI3384300,LANSING TOWNSHIP
MI3388600,LANSING COMMUNITY COLLEG
MI3392600,MERIDIAN TOWNSHIP
MI3403400,SP: IONIA COUNTY
MI3413400,IONIA
MI3563900,OSCODA TOWNSHIP
MI3633800,CRYSTAL FALLS
MI3713700,ISABELLA
MI3759900,MOUNT PLEASANT
MI3774100,SHEPHERD
MI3787000,CENTRAL MICHIGAN UNIV
MI3813800,JACKSON
MI3849700,JACKSON
MI3889000,BLACKMAN TOWNSHIP
MI3913900,KALAMAZOO
MI3941700,GALESBURG
MI3949900,KALAMAZOO
MI3950000,KALAMAZOO TOWNSHIP
MI3967800,PORTAGE
MI3979900,VICKSBURG
MI3988100,WESTERN MICHIGAN UNIVERS
MI4104100,SP: KENT COUNTY
MI4114100,KENT
MI4130000,CEDAR SPRINGS
MI4142900,GRAND RAPIDS COMMUNITY C
MI4143600,GRAND RAPIDS
MI4143700,GRANDVILLE
MI4170400,ROCKFORD
MI4175400,SPARTA
MI4183400,WYOMING
MI4185000,KENTWOOD
MI4414400,LAPEER
MI4452000,LAPEER
MI4514500,LEELANAU
MI4620200,ADRIAN
MI4626000,BLISSFIELD
MI4632000,CLINTON
MI4648500,HUDSON
MI4659400,MORENCI
MI4677600,TECUMSEH
MI4693500,MADISON TOWNSHIP
MI4714700,LIVINGSTON
MI4745100,HAMBURG TOWNSHIP
MI4748200,HOWELL
MI4766700,PINCKNEY
MI4954500,MACKINAC ISLAND
MI5015000,MACOMB
MI5030300,CENTER LINE
MI5036000,EASTPOINTE
MI5040900,FRASER
MI5061000,NEW BALTIMORE
MI5061300,NEW HAVEN
MI5069900,RICHMOND
MI5070800,ROMEO
MI5071300,ROSEVILLE
MI5072200,ST. CLAIR SHORES
MI5074000,SHELBY TOWNSHIP
MI5076500,STERLING HEIGHTS
MI5079200,UTICA
MI5080600,WARREN
MI5084900,CLINTON TOWNSHIP
MI5090200,CHESTERFIELD TOWNSHIP
MI5091800,HCMA: STONY CREEK MTRPRK
MI5115100,MANISTEE
MI5155000,MANISTEE
MI5231200,CHOCOLAY TOWNSHIP
MI5260900,NEGAUNEE
MI5284100,FORSYTH TOWNSHIP
MI5315300,MASON
MI5354000,LUDINGTON
MI5415400,MECOSTA
MI5486400,FERRIS STATE UNIVERSITY
MI5557500,MENOMINEE
MI5615600,MIDLAND
MI5632300,COLEMAN
MI5658300,MIDLAND
MI5715700,MISSAUKEE
MI5805800,SP: MONROE COUNTY
MI5815800,MONROE
MI5859000,MONROE
MI5905900,SP: MONTCALM COUNTY
MI5915900,MONTCALM
MI5944200,GREENVILLE
MI5948100,HOWARD CITY
MI6116100,MUSKEGON
MI6160300,MUSKEGON
MI6160400,MUSKEGON HEIGHTS
MI6160500,MUSKEGON TOWNSHIP
MI6162500,NORTON SHORES
MI6216200,NEWAYGO
MI6261600,NEWAYGO
MI6282000,WHITE CLOUD
MI6284200,FREMONT
MI6306300,SP: OAKLAND COUNTY
MI6316300,OAKLAND
MI6318400,HIGHLAND TOWNSHIP
MI6318500,INDEPENDENCE TOWNSHIP
MI6318900,OXFORD TOWNSHIP
MI6319100,ROCHESTER HILLS
MI6325100,BERKLEY
MI6325500,BEVERLY HILLS
MI6325900,BIRMINGHAM
MI6326100,BLOOMFIELD HILLS
MI6326200,BLOOMFIELD TOWNSHIP
MI6331600,CLAWSON
MI6338800,FARMINGTON
MI6338900,FARMINGTON HILLS
MI6339400,FERNDALE
MI6346500,HAZEL PARK
MI6347500,HOLLY
MI6348700,HUNTINGTON WOODS
MI6350300,KEEGO HARBOR
MI6350400,HCMA: KENSINGTON MTRPRK
MI6354700,MADISON HEIGHTS
MI6358500,MILFORD
MI6362700,NOVI
MI6362800,OAK PARK
MI6363600,ORCHARD LAKE
MI6367100,PLEASANT RIDGE
MI6367300,PONTIAC
MI6370200,ROCHESTER
MI6371400,ROYAL OAK
MI6374800,SOUTH LYON
MI6375100,SOUTHFIELD
MI6378400,TROY
MI6380400,WALLED LAKE
MI6380800,WATERFORD TOWNSHIP
MI6381500,WEST BLOOMFIELD TOWNSHIP
MI6382100,WHITE LAKE TOWNSHIP
MI6382700,WIXOM
MI6382900,WOLVERINE LAKE
MI6385100,AUBURN HILLS
MI6388800,OAKLAND UNIVERSITY
MI6392700,OAKLAND COMMUNITY COLLEG
MI6416400,OCEANA
MI6465600,PENTWATER
MI6516500,OGEMAW
MI6616600,ONTONAGON
MI6716700,OSCEOLA
MI6769400,REED CITY
MI6816800,OSCODA
MI6942100,GAYLORD
MI7017000,OTTAWA
MI7043200,GRAND HAVEN
MI7047400,HOLLAND
MI7075600,SPRING LAKE-FERRYSBURG
MI7117100,PRESQUE ISLE
MI7290100,RICHFIELD TOWNSHIP
MI7307300,SP: SAGINAW COUNTY
MI7317300,SAGINAW
MI7346600,RICHLAND TOWNSHIP
MI7362900,OAKLEY
MI7371700,SAGINAW
MI7371800,SAGINAW TOWNSHIP
MI7371900,SAGINAW VALLEY STATE UN
MI7372000,ST. CHARLES
MI7377800,TITTABAWASSEE TOWNSHIP
MI7385600,BUENA VISTA TOWNSHIP
MI7389400,THOMAS TOWNSHIP
MI7417400,ST. CLAIR
MI7420900,ALGONAC
MI7428600,CAPAC
MI7455600,MARINE CITY
MI7456200,MARYSVILLE
MI7467600,PORT HURON
MI7472100,ST. CLAIR
MI7483500,YALE
MI7486700,CLAY TOWNSHIP
MI7517500,ST. JOSEPH
MI7578000,THREE RIVERS
MI7627400,BROWN CITY
MI7633600,CROSWELL
MI7653000,LEXINGTON
MI7655800,MARLETTE
MI7755100,MANISTIQUE
MI7851000,LAINGSBURG
MI7864500,OWOSSO
MI7917900,TUSCOLA
MI7929000,CARO
MI7979500,VASSAR
MI8008000,SP: VAN BUREN COUNTY
MI8018000,VAN BUREN
MI8023100,BANGOR
MI8034500,DECATUR
MI8046300,HARTFORD
MI8052400,LAWTON
MI8056400,MATTAWAN
MI8065100,PAW PAW
MI8074700,SOUTH HAVEN
MI8087300,COVERT TOWNSHIP
MI8118100,WASHTENAW
MI8121800,ANN ARBOR
MI8131000,CHELSEA
MI8136600,EASTERN MICHIGAN UNIVERS
MI8158400,MILAN
MI8172800,SALINE
MI8183600,YPSILANTI
MI8190300,UNIV OF MI: ANN ARBOR
MI8190600,PITTSFIELD TOWNSHIP
MI8196400,NORTHFIELD TOWNSHIP
MI8208200,SP: WAYNE COUNTY
MI8218200,WAYNE
MI8221200,ALLEN PARK
MI8224600,BELLEVILLE
MI8234300,DEARBORN
MI8234400,DEARBORN HEIGHTS
MI8234900,DETROIT
MI8239700,FLAT ROCK
MI8242000,GARDEN CITY
MI8242300,GIBRALTAR
MI8244700,GROSSE POINTE FARMS
MI8244800,GROSSE POINTE PARK
MI8244900,GROSSE POINTE SHORES
MI8245000,GROSSE POINTE WOODS
MI8245300,HAMTRAMCK
MI8245800,HARPER WOODS
MI8249000,INKSTER
MI8253400,LINCOLN PARK
MI8253800,LIVONIA
MI8257200,MELVINDALE
MI8262400,NORTHVILLE
MI8269300,REDFORD TOWNSHIP
MI8270000,RIVER ROUGE
MI8270100,RIVERVIEW
MI8270900,ROMULUS
MI8277500,TAYLOR
MI8278300,TRENTON
MI8279300,VAN BUREN TOWNSHIP
MI8281200,WAYNE
MI8281700,WESTLAND
MI8283100,WOODHAVEN
MI8283300,WYANDOTTE
MI8286200,HURON TOWNSHIP
MI8286800,NORTHVILLE TOWNSHIP
MI8290800,CANTON TOWNSHIP
MI8293900,WAYNE COUNTY AIRPORT
MI8296500,PLYMOUTH TOWNSHIP
MI8297400,SCHOOLCRAFT COLLEGE
MI8318300,WEXFORD
MI8328100,CADILLAC
MI8356900,MANTON
MN0020000,ANOKA
MN0020200,BLAINE
MN0020500,COON RAPIDS
MN0020600,FRIDLEY
MN0020700,LINO LAKES
MN0020800,SPRING LAKE PARK
MN0040000,BELTRAMI
MN0040100,BEMIDJI
MN0070100,MANKATO
MN0090000,CARLTON
MN0110000,CASS
MN0120200,MONTEVIDEO
MN0130000,CHISAGO
MN0140400,MOORHEAD
MN0180100,BRAINERD
MN0190000,DAKOTA
MN0190400,MENDOTA HEIGHTS
MN0190600,SOUTH ST. PAUL
MN0190800,EAGAN
MN0190900,INVER GROVE HEIGHTS
MN0191000,APPLE VALLEY
MN0191100,LAKEVILLE
MN0210100,ALEXANDRIA
MN0240100,ALBERT LEA
MN0250300,RED WING
MN0270100,BLOOMINGTON
MN0270200,BROOKLYN CENTER
MN0270300,BROOKLYN PARK
MN0270400,CRYSTAL
MN0270600,EDINA
MN0270900,HOPKINS
MN0271100,MINNEAPOLIS
MN0271200,MINNETONKA
MN0271400,NEW HOPE
MN0271700,PLYMOUTH
MN0271800,RICHFIELD
MN0271900,ROBBINSDALE
MN0272100,ST. LOUIS PARK
MN0272400,UNIV OF MN: TWIN CITIES
MN0272600,EDEN PRAIRIE
MN0272700,MAPLE GROVE
MN0272800,MINNETRISTA
MN0400000,LE SUEUR
MN0420100,MARSHALL
MN0430000,MCLEOD
MN0460100,FAIRMONT
MN0480000,MILLE LACS
MN0480200,PRINCETON
MN0520000,NICOLLET
MN0530100,WORTHINGTON
MN0550000,OLMSTED
MN0550100,ROCHESTER
MN0600000,POLK
MN0620400,MAPLEWOOD
MN0620600,NEW BRIGHTON
MN0620700,NORTH ST. PAUL
MN0620800,ROSEVILLE
MN0620900,ST. PAUL
MN0690600,DULUTH
MN0690800,EVELETH
MN0700200,JORDAN
MN0700400,SHAKOPEE
MN0700600,SAVAGE
MN0710200,ELK RIVER
MN0730400,ST. CLOUD
MN0731200,SARTELL
MN0760200,BENSON
MN0800100,WADENA
MN0820000,WASHINGTON
MN0820700,COTTAGE GROVE
MN0860000,WRIGHT
MO0010100,KIRKSVILLE
MO0070400,RICH HILL
MO0100200,COLUMBIA
MO0100400,UNIV OF MO: COLUMBIA
MO0110100,ST. JOSEPH
MO0120200,POPLAR BLUFF
MO0160100,CAPE GIRARDEAU
MO0190200,BELTON
MO0190600,PECULIAR
MO0220300,OZARK
MO0240300,EXCELSIOR SPRINGS
MO0240400,GLADSTONE
MO0240800,SMITHVILLE
MO0250200,GOWER
MO0261800,LINCOLN UNIVERSITY
MO0360000,FRANKLIN
MO0390000,GREENE
MO0390300,SPRINGFIELD
MO0420000,HENRY
MO0480300,GRAIN VALLEY
MO0480400,GRANDVIEW
MO0480600,INDEPENDENCE
MO0480800,LEE'S SUMMIT
MO0481000,RAYTOWN
MO0482000,UNIV OF MO: KANSAS CITY
MO0490000,JASPER
MO0490700,JOPLIN
MO0500000,JEFFERSON
MO0500200,DE SOTO
MO0501500,BYRNES MILL
MO0510300,WARRENSBURG
MO0530000,LACLEDE
MO0540200,CONCORDIA
MO0560100,CANTON
MO0610300,MACON
MO0620100,FREDERICKTOWN
MO0740000,NODAWAY
MO0740100,NORTHWEST MO STATE UNIV
MO0740200,MARYVILLE
MO0770000,OZARK
MO0810100,ROLLA
MO0831400,TRACY
MO0840100,BOLIVAR
MO0850100,CROCKER
MO0850500,WAYNESVILLE
MO0890200,RICHMOND
MO0920000,ST. CHARLES
MO0920100,O'FALLON
MO0920300,ST. CHARLES
MO0920400,ST. PETERS
MO0950000,ST. LOUIS COUNTY POL DEP
MO0950800,BRECKENRIDGE HILLS
MO0950B00,UNIV OF MO: ST. LOUIS
MO0950C00,ST LOUIS COM COL:MERAMEC
MO0951000,BRIDGETON
MO0951900,CREVE COEUR
MO0952200,DES PERES
MO0952300,EDMUNDSON
MO0953800,HAZELWOOD
MO0954100,JENNINGS
MO0955600,OVERLAND
MO0955700,PAGEDALE
MO0956300,RIVERVIEW
MO0957200,TOWN AND COUNTRY
MO0957300,UNIVERSITY CITY
MO0958400,WOODSON TERRACE
MO0970000,STE. GENEVIEVE
MO0990000,SCHUYLER
MO1050000,STONE
MO1060100,MILAN
MO1070000,TANEY
MO1070100,BRANSON
MO1100000,WARREN
MO1100300,WARRENTON
MO1140000,WORTH
MOKPD0000,KANSAS CITY
MOMHPFF00,ST HWY PTRL:JEFFERSON CI
MOMHPHH00,ST HWY PTRL: ST. JOSEPH
MOSPD0000,ST. LOUIS
MS0010000,ADAMS
MS0240100,BILOXI
MS0240200,GULFPORT
MS0360200,UNIV OF MS: OXFORD
MT0020000,BIG HORN
MT0050000,CARBON
MT0050100,RED LODGE
MT0070000,CASCADE
MT0090100,MILES CITY
MT0120000,DEER LODGE
MT0150000,FLATHEAD
MT0150100,COLUMBIA FALLS
MT0150300,KALISPELL
MT0160000,GALLATIN
MT0160600,MONTANA STATE UNIVERSITY
MT0190000,GOLDEN VALLEY
MT0240000,LAKE
MT0240100,POLSON
MT0240200,RONAN CITY
MT0250000,LEWIS AND CLARK
MT0250100,HELENA
MT0270300,TROY
MT0280000,MCCONE
MT0320000,MISSOULA
MT0320100,MISSOULA
MT0340000,PARK
MT0360000,PHILLIPS
MT0390000,POWELL
MT0390100,DEER LODGE
MT0410000,RAVALLI
MT0410200,STEVENSVILLE
MT0420100,SIDNEY
MT0440000,ROSEBUD
MT0440300,COLSTRIP
MT0470000,SILVER BOW
MT0480000,STILLWATER
MT0560000,YELLOWSTONE
MT0560100,BILLINGS
NB0010000,ADAMS
NB0100000,BUFFALO
NB0100100,KEARNEY
NB0230100,CHADRON
NB0270100,FREMONT
NB0280200,OMAHA
NB0400100,GRAND ISLAND
NB0510000,KEITH
NB0550100,LINCOLN
NB0550500,UNIV OF NEBRASKA:LINCOLN
NB0560100,NORTH PLATTE
NB0600100,NORFOLK
NB0660100,NEBRASKA CITY
NB0760200,CRETE
NB0770200,PAPILLION
NB0820000,SHERMAN
NB0890100,BLAIR
NC0010100,BURLINGTON
NC0040000,ANSON
NC0040100,WADESBORO
NC0090000,BLADEN
NC0100200,SHALLOTTE
NC0110000,BUNCOMBE
NC0110100,ASHEVILLE
NC0110200,BLACK MOUNTAIN
NC0110700,UNIV OF NC: ASHEVILLE
NC0120100,MORGANTON
NC0130000,CABARRUS
NC0130200,KANNAPOLIS
NC0140000,CALDWELL
NC0140100,GRANITE FALLS
NC0140200,LENOIR
NC0180000,CATAWBA
NC0180200,HICKORY
NC0180400,NEWTON
NC0180700,LONG VIEW
NC0190000,CHATHAM
NC0190100,SILER CITY
NC0220000,CLAY
NC0230000,CLEVELAND
NC0250200,NEW BERN
NC0260000,CUMBERLAND
NC0260100,FAYETTEVILLE
NC0260200,HOPE MILLS
NC0260400,FAYETTEVILLE STATE UNIV
NC0270000,CURRITUCK
NC0280100,KILL DEVIL HILLS
NC0290100,LEXINGTON
NC0290200,THOMASVILLE
NC0300000,DAVIE
NC0300100,MOCKSVILLE
NC0320100,DURHAM
NC0320300,DUKE UNIVERSITY
NC0330100,ROCKY MOUNT
NC0340000,FORSYTH
NC0340100,KERNERSVILLE
NC0340200,WINSTON-SALEM
NC0340600,NC SCHOOL OF THE ARTS
NC0350000,FRANKLIN
NC0360500,GASTON COUNTY POLICE DEP
NC0360600,GASTONIA
NC0390100,OXFORD
NC0390300,CREEDMOOR
NC0410000,GUILFORD
NC0410200,GREENSBORO
NC0410300,HIGH POINT
NC0410500,UNIV OF NC: GREENSBORO
NC0420200,ROANOKE RAPIDS
NC0430000,HARNETT
NC0430100,DUNN
NC0430500,ERWIN
NC0440000,HAYWOOD
NC0440200,WAYNESVILLE
NC0450000,HENDERSON
NC0490000,IREDELL
NC0490100,MOORESVILLE
NC0490200,STATESVILLE
NC0500000,JACKSON
NC0500100,SYLVA
NC0500200,WESTERN CAROLINA UNIV
NC0510100,SMITHFIELD
NC0540000,LENOIR
NC0550000,LINCOLN
NC0580300,MARS HILL
NC0590100,WILLIAMSTON
NC0600100,CHARLOTTE-MECKLENBURG
NC0600700,MATTHEWS
NC0600800,UNIV OF NC: CHARLOTTE
NC0602900,MINT HILL
NC0630500,CARTHAGE
NC0650000,NEW HANOVER
NC0650100,CAROLINA BEACH
NC0650200,WILMINGTON
NC0650300,WRIGHTSVILLE BEACH
NC0650500,UNIV OF NC: WILMINGTON
NC0670100,JACKSONVILLE
NC0680100,CHAPEL HILL
NC0680200,HILLSBOROUGH
NC0680300,CARRBORO
NC0700000,PASQUOTANK
NC0700100,ELIZABETH CITY
NC0700200,ELIZABETH CITY STATE UN
NC0730000,PERSON
NC0730100,ROXBORO
NC0740000,PITT
NC0740300,GREENVILLE
NC0740900,EAST CAROLINA UNIVERSITY
NC0760100,ASHEBORO
NC0760600,ARCHDALE
NC0780900,UNIV OF NC: PEMBROKE
NC0790000,ROCKINGHAM
NC0790400,MAYODAN
NC0790500,REIDSVILLE
NC0790700,STONEVILLE
NC0800500,SALISBURY
NC0810000,RUTHERFORD
NC0840100,ALBEMARLE
NC0850300,KING
NC0860000,SURRY
NC0860100,ELKIN
NC0860200,MOUNT AIRY
NC0880000,TRANSYLVANIA
NC0880100,BREVARD
NC0900000,UNION
NC0900500,STALLINGS
NC0920100,RALEIGH
NC0920200,APEX
NC0920300,CARY
NC0920900,ZEBULON
NC0921500,RALEIGH-DURHAM INT AIRPO
NC0921600,"NC STATE UNIV, RALEIGH"
NC0950100,BOONE
NC0950300,APPALACHIAN STATE UNIVER
NC0970000,WILKES
NC0980100,WILSON
ND0010000,ADAMS
ND0020000,BARNES
ND0050000,BOTTINEAU
ND0080100,BISMARCK
ND0090000,CASS
ND0090200,FARGO
ND0090300,WEST FARGO
ND0130000,DUNN
ND0180100,GRAND FORKS
ND0180800,UNIV OF NORTH DAKOTA
ND0270000,MCKENZIE
ND0270100,WATFORD CITY
ND0280000,MCLEAN
ND0290100,BEULAH
ND0300000,MORTON
ND0300200,MANDAN
ND0350100,RUGBY
ND0360000,RAMSEY
ND0360100,DEVILS LAKE
ND0370200,LISBON
ND0390000,RICHLAND
ND0390300,WAHPETON
ND0400000,ROLETTE
ND0400200,ROLLA
ND0410000,SARGENT
ND0440000,SLOPE
ND0450100,DICKINSON
ND0450200,BELFIELD
ND0460000,STEELE
ND0500000,WALSH
ND0510000,WARD
ND0510200,MINOT
ND0530000,WILLIAMS
ND0530100,TIOGA
ND0530200,WILLISTON
NH0010400,BARNSTEAD
NH0010600,BELMONT
NH0011400,LACONIA
NH0012200,TILTON
NH0020000,CARROLL
NH0021000,CONWAY
NH0030600,DUBLIN
NH0031400,HINSDALE
NH0032000,MARLBOROUGH
NH0034600,WINCHESTER
NH0043800,LANCASTER
NH0044800,NORTHUMBERLAND
NH0051400,BRISTOL
NH0054400,LEBANON
NH0054600,LINCOLN
NH0055000,LITTLETON
NH0056600,PLYMOUTH
NH0060400,ANTRIM
NH0060600,BEDFORD
NH0062800,HUDSON
NH0063400,MANCHESTER
NH0064000,MERRIMACK
NH0064200,MILFORD
NH0065200,PELHAM
NH0071600,CONCORD
NH0072000,DUNBARTON
NH0073000,HOOKSETT
NH0073800,NEW LONDON
NH0074200,PEMBROKE
NH0080800,CANDIA
NH0081200,DANVILLE
NH0081600,DERRY
NH0082000,EPPING
NH0082200,EXETER
NH0083000,HAMPTON
NH0083200,HAMPTON FALLS
NH0083600,KINGSTON
NH0083800,LONDONDERRY
NH0085800,PORTSMOUTH
NH0086000,RAYMOND
NH0086200,RYE
NH0086400,SALEM
NH0086600,SANDOWN
NH0086800,SEABROOK
NH0090200,BARRINGTON
NH0090400,DOVER
NH0090600,DURHAM
NH0090800,FARMINGTON
NH0091000,LEE
NH0091600,MILTON
NH0092000,ROCHESTER
NH0092700,UNIV OF NEW HAMPSHIRE
NJ0010200,ATLANTIC CITY
NJ0010400,BUENA
NJ0010700,EGG HARBOR CITY
NJ0010800,EGG HARBOR TOWNSHIP
NJ0011100,GALLOWAY TOWNSHIP
NJ0011200,HAMILTON TOWNSHIP
NJ0011300,HAMMONTON
NJ0011600,MARGATE CITY
NJ0011700,MULLICA TOWNSHIP
NJ0011800,NORTHFIELD
NJ0012100,SOMERS POINT
NJ001SP00,SP: ATLANTIC COUNTY
NJ0020100,ALLENDALE
NJ0020200,ALPINE
NJ0020300,BERGENFIELD
NJ0020400,BOGOTA
NJ0020600,CLIFFSIDE PARK
NJ0021100,ELMWOOD PARK
NJ0021500,ENGLEWOOD
NJ0021700,FAIR LAWN
NJ0021900,FORT LEE
NJ0022000,FRANKLIN LAKES
NJ0022200,GLEN ROCK
NJ0022300,HACKENSACK
NJ0022700,HILLSDALE
NJ0022800,HO-HO-KUS
NJ0023000,LITTLE FERRY
NJ0023100,LODI
NJ0023400,MAYWOOD
NJ0023500,MIDLAND PARK
NJ0023800,NEW MILFORD
NJ0023900,NORTH ARLINGTON
NJ0024100,NORWOOD
NJ0024200,OAKLAND
NJ0024400,ORADELL
NJ0024500,PALISADES PARK
NJ0024600,PARAMUS
NJ0024700,PARK RIDGE
NJ0024800,RAMSEY
NJ0024900,RIDGEFIELD
NJ0025000,RIDGEFIELD PARK
NJ0025100,RIDGEWOOD
NJ0025200,RIVER EDGE
NJ0025300,RIVER VALE TOWNSHIP
NJ0025600,RUTHERFORD
NJ0025700,SADDLE BROOK TOWNSHIP
NJ0025800,SADDLE RIVER
NJ0026000,TEANECK TOWNSHIP
NJ0026100,TENAFLY
NJ0026300,UPPER SADDLE RIVER
NJ0026400,WALDWICK
NJ0026500,WALLINGTON
NJ0026700,WESTWOOD
NJ0030400,BORDENTOWN TOWNSHIP
NJ0030500,BURLINGTON
NJ0030700,CHESTERFIELD TOWNSHIP
NJ0030900,DELANCO TOWNSHIP
NJ0031000,DELRAN TOWNSHIP
NJ0031100,EASTAMPTON TOWNSHIP
NJ0031300,EVESHAM TOWNSHIP
NJ0031500,FLORENCE TOWNSHIP
NJ0031700,WILLINGBORO TOWNSHIP
NJ0031800,LUMBERTON TOWNSHIP
NJ0031900,MANSFIELD TOWNSHIP
NJ0032000,MAPLE SHADE TOWNSHIP
NJ0032100,MEDFORD TOWNSHIP
NJ0032200,MEDFORD LAKES
NJ0032300,MOORESTOWN TOWNSHIP
NJ0032400,MOUNT HOLLY TOWNSHIP
NJ0032500,MOUNT LAUREL TOWNSHIP
NJ0032700,NORTH HANOVER TOWNSHIP
NJ0032800,PALMYRA
NJ0033000,PEMBERTON TOWNSHIP
NJ0033100,RIVERSIDE TOWNSHIP
NJ0033200,RIVERTON
NJ0033800,WESTAMPTON TOWNSHIP
NJ003SP00,SP: BURLINGTON COUNTY
NJ0040100,AUDUBON
NJ0040800,CAMDEN
NJ0041000,CLEMENTON
NJ0041100,COLLINGSWOOD
NJ0041200,CHERRY HILL TOWNSHIP
NJ0041300,GIBBSBORO
NJ0041400,GLOUCESTER CITY
NJ0041500,GLOUCESTER TOWNSHIP
NJ0041600,HADDON TOWNSHIP
NJ0041700,HADDONFIELD
NJ0042400,MERCHANTVILLE
NJ0042600,OAKLYN
NJ0042700,PENNSAUKEN TOWNSHIP
NJ0042800,PINE HILL
NJ0043000,RUNNEMEDE
NJ0043200,STRATFORD
NJ0043400,VOORHEES TOWNSHIP
NJ0043500,WATERFORD TOWNSHIP
NJ0043600,WINSLOW TOWNSHIP
NJ0050100,AVALON
NJ0050500,LOWER TOWNSHIP
NJ0050600,MIDDLE TOWNSHIP
NJ0050700,NORTH WILDWOOD
NJ0050800,OCEAN CITY
NJ0050900,SEA ISLE CITY
NJ0051000,STONE HARBOR
NJ0051400,WILDWOOD
NJ0060100,BRIDGETON
NJ0061000,MILLVILLE
NJ0061400,VINELAND
NJ006SP00,SP: CUMBERLAND COUNTY
NJ0070100,BELLEVILLE
NJ0070400,FAIRFIELD TOWNSHIP
NJ0070600,EAST ORANGE
NJ0070800,GLEN RIDGE
NJ0071000,LIVINGSTON TOWNSHIP
NJ0071100,MAPLEWOOD TOWNSHIP
NJ0071200,MILLBURN TOWNSHIP
NJ0071300,MONTCLAIR
NJ0071500,NORTH CALDWELL
NJ0071600,NUTLEY TOWNSHIP
NJ0071900,SOUTH ORANGE
NJ0072000,VERONA
NJ0072200,WEST ORANGE
NJ0080300,EAST GREENWICH TOWNSHIP
NJ0080400,ELK TOWNSHIP
NJ0080500,FRANKLIN TOWNSHIP
NJ0080600,GLASSBORO
NJ0080800,HARRISON TOWNSHIP
NJ0081000,MANTUA TOWNSHIP
NJ0081100,MONROE TOWNSHIP
NJ0081400,PAULSBORO
NJ0081500,PITMAN
NJ0081600,SOUTH HARRISON TOWNSHIP
NJ0081800,WASHINGTON TOWNSHIP
NJ0082000,WEST DEPTFORD TOWNSHIP
NJ0082100,WESTVILLE
NJ0082200,WOODBURY
NJ0082300,WOODBURY HEIGHTS
NJ0090100,BAYONNE
NJ0090200,EAST NEWARK
NJ0090300,GUTTENBERG
NJ0090400,HARRISON
NJ0090500,HOBOKEN
NJ0090600,JERSEY CITY
NJ0090700,KEARNY
NJ0090800,NORTH BERGEN TOWNSHIP
NJ0090900,SECAUCUS
NJ0091000,UNION CITY
NJ0091100,WEEHAWKEN TOWNSHIP
NJ0091200,WEST NEW YORK
NJ0100600,CLINTON TOWNSHIP
NJ0101400,HIGH BRIDGE
NJ0101700,LAMBERTVILLE
NJ0102200,READINGTON TOWNSHIP
NJ010SP00,SP: HUNTERDON COUNTY
NJ0110100,EAST WINDSOR TOWNSHIP
NJ0110200,EWING TOWNSHIP
NJ0110300,HAMILTON TOWNSHIP
NJ0110400,HIGHTSTOWN
NJ0110600,HOPEWELL TOWNSHIP
NJ0110700,LAWRENCE TOWNSHIP
NJ0110900,PRINCETON
NJ0111000,PRINCETON
NJ0111100,TRENTON
NJ0111200,ROBBINSVILLE TOWNSHIP
NJ0111300,WEST WINDSOR TOWNSHIP
NJ0120100,CARTERET
NJ0120200,CRANBURY TOWNSHIP
NJ0120300,DUNELLEN
NJ0120400,EAST BRUNSWICK TOWNSHIP
NJ0120500,EDISON TOWNSHIP
NJ0120700,HIGHLAND PARK
NJ0120800,JAMESBURG
NJ0120900,OLD BRIDGE TOWNSHIP
NJ0121000,METUCHEN
NJ0121100,MIDDLESEX
NJ0121200,MILLTOWN
NJ0121300,MONROE TOWNSHIP
NJ0121400,NEW BRUNSWICK
NJ0121500,NORTH BRUNSWICK TOWNSHIP
NJ0121700,PISCATAWAY TOWNSHIP
NJ0121800,PLAINSBORO TOWNSHIP
NJ0121900,SAYREVILLE
NJ0122000,SOUTH AMBOY
NJ0122100,SOUTH BRUNSWICK TOWNSHIP
NJ0122200,SOUTH PLAINFIELD
NJ0122300,SOUTH RIVER
NJ0122400,SPOTSWOOD
NJ0122500,WOODBRIDGE TOWNSHIP
NJ0130300,ASBURY PARK
NJ0130400,COLTS NECK TOWNSHIP
NJ0130500,ATLANTIC HIGHLANDS
NJ0130700,BELMAR
NJ0130800,BRADLEY BEACH
NJ0130900,BRIELLE
NJ0131000,DEAL
NJ0131100,EATONTOWN
NJ0131500,FREEHOLD
NJ0131600,FREEHOLD TOWNSHIP
NJ0131700,HIGHLANDS
NJ0131800,HOLMDEL TOWNSHIP
NJ0131900,HOWELL TOWNSHIP
NJ0132100,KEANSBURG
NJ0132300,LITTLE SILVER
NJ0132500,LONG BRANCH
NJ0132600,MANALAPAN TOWNSHIP
NJ0132700,MANASQUAN
NJ0132800,MARLBORO TOWNSHIP
NJ0132900,MATAWAN
NJ0133000,ABERDEEN TOWNSHIP
NJ0133100,MIDDLETOWN TOWNSHIP
NJ0133400,NEPTUNE TOWNSHIP
NJ0133500,NEPTUNE CITY
NJ0133600,TINTON FALLS
NJ0133900,HAZLET TOWNSHIP
NJ0134200,RUMSON
NJ0134400,SEA GIRT
NJ0134800,SPRING LAKE
NJ0135000,UNION BEACH
NJ0135300,WEST LONG BRANCH
NJ013SP00,SP: MONMOUTH COUNTY
