,date,state,religion,sexual_orientation,disability,gender,gender_identity,race_corrected,est_pop,race_religion_ethnicity_enh_penalty,sexual_orientation_enh_penalty,gender_enh_penalty,gender_identity_enh_penalty,disability_enh_penalty,other_enh_penalty,all_count,race_corrected_per_capita,religion_per_capita,sexual_orientation_per_capita,disability_per_capita,gender_per_capita,gender_identity_per_capita,all_count_per_capita
550,2004,Delaware,2,9,0,,,22.0,830803,YES,YES,YES,YES,YES,NO,33.0,2.648040510205187e-05,2.407309554731988e-06,1.0832892996293946e-05,0.0,,,3.9720607653077804e-05
551,2004,DC,2,29,0,,,18.0,567754,YES,YES,YES,YES,YES,YES,49.0,3.1703871747270823e-05,3.522652416363425e-06,5.107846003726966e-05,0.0,,,8.630498420090391e-05
552,2004,Florida,35,45,0,,,194.0,17415318,YES,YES,NO,NO,YES,YES,274.0,1.1139618581756589e-05,2.0097250018633023e-06,2.5839321452528173e-06,0.0,,,1.5733275728872707e-05
553,2004,Georgia,3,12,0,,,14.0,8769252,NO,NO,NO,NO,NO,NO,29.0,1.5964873628902443e-06,3.4210443490505234e-07,1.3684177396202094e-06,0.0,,,3.307009537415506e-06
554,2004,Idaho,14,4,0,,,19.0,1391802,YES,NO,NO,NO,NO,NO,37.0,1.3651367076638775e-05,1.0058902056470677e-05,2.873972016134479e-06,0.0,,,2.658424114924393e-05
555,2004,Illinois,22,35,0,,,130.0,12589773,YES,YES,YES,YES,YES,NO,187.0,1.0325841458777692e-05,1.7474500930239172e-06,2.7800342389016864e-06,0.0,,,1.4853325790703295e-05
556,2004,Indiana,6,14,1,,,42.0,6233007,NO,NO,NO,NO,NO,NO,63.0,6.738320685344971e-06,9.626172407635673e-07,2.2461068951149903e-06,1.6043620679392787e-07,,,1.0107481028017457e-05
557,2004,Iowa,2,4,0,,,17.0,2953635,YES,YES,YES,NO,YES,YES,23.0,5.7556197702153445e-06,6.771317376723935e-07,1.354263475344787e-06,0.0,,,7.787014983232525e-06
558,2004,Kansas,2,13,0,,,34.0,2734373,YES,YES,NO,NO,NO,NO,49.0,1.2434294809084203e-05,7.314291064167179e-07,4.754289191708666e-06,0.0,,,1.7920013107209587e-05
559,2004,Kentucky,9,11,0,,,51.0,4146101,YES,YES,NO,NO,NO,NO,71.0,1.2300713369018265e-05,2.1707141239443997e-06,2.6530950403764886e-06,0.0,,,1.7124522533339152e-05
560,2004,Louisiana,7,3,0,,,12.0,4552238,YES,YES,YES,NO,YES,YES,22.0,2.6360660404838236e-06,1.5377051902822304e-06,6.590165101209559e-07,0.0,,,4.83278774088701e-06
561,2004,Maine,7,35,0,,,26.0,1313688,YES,YES,YES,NO,YES,YES,68.0,1.97916095754852e-05,5.328510270322938e-06,2.664255135161469e-05,0.0,,,5.1762671197422827e-05
562,2004,Maryland,57,19,0,,,169.0,5546935,YES,YES,YES,YES,YES,NO,245.0,3.046727607228136e-05,1.0275945184142233e-05,3.4253150613807446e-06,0.0,,,4.416853631780434e-05
563,2004,Massachusetts,75,66,0,,,205.0,6412281,YES,YES,NO,YES,YES,NO,346.0,3.196990275379385e-05,1.1696305885534336e-05,1.0292749179270217e-05,0.0,,,5.39589578185984e-05
564,2004,Michigan,53,73,13,,,417.0,10055315,YES,NO,YES,NO,NO,NO,556.0,4.1470605346525694e-05,5.270844324618374e-06,7.259842182964929e-06,1.2928486079252615e-06,,,5.529414046203426e-05
565,2004,Minnesota,31,34,1,,,173.0,5087713,YES,YES,YES,YES,YES,YES,239.0,3.400349036983808e-05,6.093110991127055e-06,6.6827668934941885e-06,1.9655196745571144e-07,,,4.6975920221915036e-05
566,2004,Mississippi,0,0,0,,,2.0,2889010,YES,NO,YES,NO,NO,NO,2.0,6.922786698557638e-07,0.0,0.0,0.0,,,6.922786698557638e-07
567,2004,Missouri,4,11,0,,,56.0,5747741,YES,YES,YES,YES,YES,NO,71.0,9.74295814651356e-06,6.959255818938257e-07,1.9137953502080208e-06,0.0,,,1.2352679078615407e-05
568,2004,Montana,8,7,7,,,34.0,930009,YES,NO,NO,NO,NO,NO,56.0,3.6558785990243103e-05,8.602067291821907e-06,7.526808880344169e-06,7.526808880344169e-06,,,6.021447104275335e-05
569,2004,Nebraska,7,9,0,,,46.0,1749370,YES,YES,YES,NO,YES,YES,62.0,2.6295180550712542e-05,4.001440518586692e-06,5.144709238182889e-06,0.0,,,3.544133030748212e-05
570,2004,Nevada,15,10,0,,,56.0,2346222,YES,YES,YES,YES,YES,YES,81.0,2.3868159108558356e-05,6.393256904078131e-06,4.262171269385421e-06,0.0,,,3.4523587282021904e-05
571,2004,New Hampshire,7,15,0,,,26.0,1290121,YES,YES,YES,NO,YES,YES,48.0,2.0153148425612792e-05,5.425847653049598e-06,1.1626816399391995e-05,0.0,,,3.7205812478054386e-05
