,date,state,religion,sexual_orientation,disability,gender,gender_identity,race_corrected,est_pop,race_religion_ethnicity_enh_penalty,sexual_orientation_enh_penalty,gender_enh_penalty,gender_identity_enh_penalty,disability_enh_penalty,other_enh_penalty,civil_action_statute_present,data_collection_statute_present,police_training_statute_present,institutional_vandalism_statute_present,cross_burning_statute_present,all_count,race_corrected_per_capita,religion_per_capita,sexual_orientation_per_capita,disability_per_capita,gender_per_capita,gender_identity_per_capita,all_count_per_capita,Number of Participating Agencies,Population Covered,Agencies Submitting Incident Reports,Total Number of Incidents Reported,percent_of_population_covered
492,2006,West Virginia,2.0,8.0,0.0,,,24.0,1827912.0,YES,NO,YES,NO,NO,YES,1.0,0.0,0.0,0.0,0.0,34.0,1.3129734910652154e-05,1.0941445758876796e-06,4.376578303550718e-06,0.0,,,1.8600457790090556e-05,340,1707846.0,18,34,0.934315218675735
493,2006,Wisconsin,12.0,12.0,1.0,,,59.0,5577655.0,YES,YES,NO,NO,YES,NO,1.0,0.0,0.0,1.0,0.0,84.0,1.057792208374308e-05,2.151441779744355e-06,2.151441779744355e-06,1.7928681497869625e-07,,,1.5060092458210486e-05,371,5556506.0,25,84,0.9962082631500155
494,2006,Wyoming,0.0,2.0,0.0,,,3.0,522667.0,NO,NO,NO,NO,NO,NO,0.0,0.0,0.0,0.0,0.0,5.0,5.73979225778555e-06,0.0,3.8265281718570325e-06,0.0,,,9.566320429642583e-06,62,503327.0,4,5,0.9629974725781425
495,2005,Alaska,0.0,0.0,0.0,,,4.0,666946.0,YES,NO,YES,NO,YES,NO,0.0,0.0,0.0,0.0,0.0,4.0,5.997487052924823e-06,0.0,0.0,0.0,,,5.997487052924823e-06,1,276109.0,1,4,0.4139900381740051
496,2005,Arizona,27.0,23.0,0.0,,,88.0,5839077.0,YES,YES,YES,NO,YES,NO,0.0,1.0,1.0,1.0,1.0,138.0,1.5070875071522437e-05,4.624018487853474e-06,3.938978711875182e-06,0.0,,,2.363387227125109e-05,78,4202942.0,26,138,0.7197956115324391
497,2005,Arkansas,10.0,16.0,0.0,,,108.0,2781097.0,NO,NO,NO,NO,NO,NO,1.0,0.0,0.0,1.0,0.0,134.0,3.8833596958322556e-05,3.595703422066904e-06,5.753125475307046e-06,0.0,,,4.818242585569651e-05,205,1703545.0,66,134,0.6125442586144964
498,2005,California,205.0,255.0,3.0,,,916.0,35827943.0,YES,YES,YES,YES,YES,YES,1.0,1.0,1.0,1.0,1.0,1379.0,2.55666366333116e-05,5.721790949594846e-06,7.11734971778871e-06,8.373352609163188e-08,,,3.848951082678679e-05,725,36132147.0,252,1379,1.008490691190393
499,2005,Colorado,22.0,16.0,1.0,,,86.0,4631888.0,YES,YES,NO,YES,YES,YES,1.0,0.0,0.0,1.0,0.0,125.0,1.856694289671944e-05,4.749683066602647e-06,3.454314957529198e-06,2.1589468484557487e-07,,,2.698683560569685e-05,205,4517158.0,43,125,0.9752304028076672
500,2005,Connecticut,21.0,8.0,4.0,,,62.0,3506956.0,YES,YES,YES,YES,YES,NO,1.0,1.0,1.0,1.0,1.0,95.0,1.767914966711872e-05,5.988099080798276e-06,2.2811806022088677e-06,1.1405903011044337e-06,,,2.7089019651230293e-05,98,3428766.0,45,95,0.9777043110891611
501,2005,Delaware,7.0,6.0,0.0,,,32.0,845150.0,YES,YES,YES,YES,YES,NO,0.0,0.0,0.0,1.0,1.0,45.0,3.786310122463468e-05,8.282553392888839e-06,7.099331479619002e-06,0.0,,,5.324498609714252e-05,53,843524.0,11,45,0.9980760811690232
502,2005,DC,7.0,30.0,0.0,,,11.0,567136.0,YES,YES,YES,YES,YES,YES,1.0,1.0,0.0,1.0,1.0,48.0,1.939570050217232e-05,1.2342718501382385e-05,5.28973650059245e-05,0.0,,,8.463578400947921e-05,2,550521.0,2,48,0.9707036760142188
503,2005,Florida,34.0,31.0,0.0,,,166.0,17842038.0,YES,YES,NO,NO,YES,YES,1.0,1.0,0.0,1.0,1.0,231.0,9.303869883025694e-06,1.9056119037522511e-06,1.7374696769505817e-06,0.0,,,1.2946951463728528e-05,492,17744135.0,95,231,0.9945127905231453
504,2005,Georgia,2.0,10.0,0.0,,,5.0,8925922.0,NO,NO,NO,NO,NO,NO,0.0,0.0,0.0,1.0,1.0,17.0,5.601662214838983e-07,2.240664885935593e-07,1.1203324429677966e-06,0.0,,,1.904565153045254e-06,71,1925691.0,4,17,0.2157414102431099
505,2005,Idaho,4.0,4.0,0.0,,,25.0,1428241.0,YES,NO,NO,NO,NO,NO,1.0,1.0,0.0,1.0,1.0,33.0,1.7504048686461178e-05,2.8006477898337887e-06,2.8006477898337887e-06,0.0,,,2.3105344266128754e-05,106,1425914.0,16,33,0.9983707231482641
506,2005,Illinois,23.0,28.0,1.0,,,116.0,12609903.0,YES,YES,YES,YES,YES,NO,1.0,1.0,1.0,1.0,1.0,168.0,9.199119136761003e-06,1.823963277116406e-06,2.220477033011277e-06,7.930275117897417e-08,,,1.3322862198067662e-05,66,5047250.0,50,168,0.4002608108880774
507,2005,Indiana,4.0,11.0,0.0,,,39.0,6278616.0,NO,NO,NO,NO,NO,NO,0.0,1.0,0.0,1.0,0.0,54.0,6.211559999847099e-06,6.370830769073949e-07,1.7519784614953358e-06,0.0,,,8.60062153824983e-06,142,3933013.0,18,54,0.6264140058891959
508,2005,Iowa,8.0,4.0,0.0,,,25.0,2964454.0,YES,YES,YES,NO,YES,YES,1.0,1.0,1.0,0.0,0.0,37.0,8.433256174661506e-06,2.698641975891682e-06,1.349320987945841e-06,0.0,,,1.2481219138499028e-05,225,2935183.0,19,37,0.9901260063404593
509,2005,Kansas,3.0,8.0,1.0,,,60.0,2745299.0,YES,YES,NO,NO,NO,NO,0.0,0.0,0.0,1.0,0.0,72.0,2.1855542875293364e-05,1.092777143764668e-06,2.914072383372448e-06,3.642590479215561e-07,,,2.622665145035204e-05,349,2048283.0,35,72,0.7461056154539086
510,2005,Kentucky,2.0,8.0,1.0,,,33.0,4182742.0,YES,YES,NO,NO,NO,NO,0.0,1.0,1.0,1.0,0.0,44.0,7.889561440796493e-06,4.78155238836151e-07,1.912620955344604e-06,2.390776194180755e-07,,,1.0519415254395323e-05,321,3744693.0,22,44,0.8952722878915315
